ITS2 type profile UID	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
64404	B	B1	S. minutum,S. antillogorgium,S. pseudominutum	7	7	B1-B1al-B1aj-B1ak-B1aa	4946-891991-89264-892021-29329	0.530[0.086]-0.207[0.023]-0.102[0.038]-0.101[0.041]-0.060[0.015]
64391	B	B1	S. minutum,S. antillogorgium,S. pseudominutum	5	22	B1-B1g	4946-29275	0.973[0.018]-0.027[0.018]
64398	B	B1	S. minutum,S. antillogorgium,S. pseudominutum	4	4	B1-B1ah-B1aa	4946-891993-29329	0.717[0.021]-0.185[0.021]-0.098[0.005]
64386	B	B5	None	1	31	B5	29665	1.000[nan]
64405	B	B1	S. minutum,S. antillogorgium,S. pseudominutum	1	15	B1-B1x-B1t-B14b	4946-693415-53205-29495	0.803[nan]-0.079[nan]-0.062[nan]-0.056[nan]
64408	B	B19	None	1	12	B19	37844	1.000[nan]
64411	B	B5ai	None	1	1	B5ai	892114	1.000[nan]
64483	C	C3	None	22	26	C3-C16a	32-40213	0.971[0.006]-0.029[0.006]
65149	C	C7/C7d/C12c	None	22	22	C7/C7d/C12c-C12b-C12e-C7h-C3-C7g	3332/363069/40926-363072-363074-365324-32-363075	0.299[0.090]/0.238[0.062]/0.223[0.057]-0.097[0.026]-0.048[0.032]-0.035[0.015]-0.030[0.011]-0.028[0.009]
64727	C	C3	None	18	18	C3-C40g-C3b-C3an-C21-C3fc-C3fd-C3s	32-891943-80-1354-41-12353-71406-38269	0.570[0.040]-0.133[0.052]-0.070[0.016]-0.062[0.007]-0.051[0.014]-0.042[0.005]-0.039[0.007]-0.033[0.005]
64732	C	C3fe	None	12	12	C3fe-C3-C3fg-C3b-C3ag-C21	891930-32-891931-80-8520-41	0.444[0.105]-0.198[0.057]-0.195[0.042]-0.080[0.034]-0.048[0.021]-0.035[0.008]
64733	C	C3/C7	None	8	41	C3/C7		0.604[0.351]/0.396[0.351]
65057	C	C3	None	7	7	C3-C3a-C16a	32-161-40213	0.919[0.078]-0.058[0.084]-0.023[0.009]
64726	C	C7/C12c	None	6	6	C7/C12c-C7d-C12b-C12e	3332/40926-363069-363072-363074	0.322[0.046]/0.240[0.063]-0.238[0.052]-0.115[0.010]-0.085[0.004]
64728	C	C3	None	5	9	C3-C3an-C3b-C21-C3fc-C3bb-C3s-C3fd	32-80-1354-41-12353-982-38269-71406	0.595[0.033]-0.080[0.012]-0.073[0.006]-0.071[0.019]-0.059[0.010]-0.046[0.010]-0.038[0.006]-0.038[0.007]
64731	C	C47/C44	None	4	4	C47/C44		0.528[0.293]/0.472[0.293]
64729	C	C54a	None	4	4	C54a-C54b-C3-C54d-C54c	62862-19236-32-892071-892070	0.466[0.051]-0.326[0.019]-0.110[0.062]-0.051[0.012]-0.048[0.007]
64758	C	C42.2	None	4	46	C42.2	1	1.000[0.000]
64597	C	C3	None	3	40	C3	32	1.000[0.000]
64799	C	C45a	None	2	3	C45a	40124	1.000[0.000]
64453	C	C3	None	2	19	C3/C3b	32-80	0.921[0.021]-0.079[0.021]
64730	C	C3	None	2	15	C3/C3a	32-161	0.597[0.022]-0.403[0.022]
65042	C	C3	None	1	8	C3/C3a-C3b	32-161-80	0.941[nan]-0.043[nan]-0.016[nan]
65049	C	C3	S. goreaui	1	12	C1/C3/C1c-C1al	32-2-828-308	0.741[nan]-0.193[nan]-0.034[nan]-0.033[nan]
65050	C	C1	S. goreaui	1	243	C1/C3-C1c-C1b-C72k-C1w	2-32-308-4-835-833	0.631[nan]-0.174[nan]-0.141[nan]-0.030[nan]-0.015[nan]-0.009[nan]
64477	C	C46	None	1	4	C46	44722	1.000[nan]
64608	C	C7	None	1	20	C7	3332	1.000[nan]
64739	C	C3	S. goreaui	1	33	C1/C42.2/C3-C1b	32-2-4-1	0.782[nan]-0.189[nan]-0.023[nan]-0.007[nan]
64751	C	C3	None	1	41	C21/C3	32-41	0.933[nan]-0.067[nan]
64627	C	C3	S. goreaui	1	43	C1/C3/C1b	32-2-4	0.911[nan]-0.082[nan]-0.007[nan]
64983	D	D1	S. trenchii	5	32	D1-D4-D4c-D17d-D1r-D17e	853-854-1730-944-2582-2587	0.597[0.042]-0.200[0.017]-0.114[0.018]-0.036[0.017]-0.035[0.015]-0.019[0.012]
64857	D	D1	S. trenchii	4	81	D1-D4-D4c-D1c-D2-D1k	853-854-1730-2308-855-12730	0.592[0.029]-0.210[0.007]-0.103[0.019]-0.037[0.005]-0.032[0.010]-0.027[0.003]
64849	D	D1	S. trenchii	1	62	D1/D4-D4c-D1c	853-854-1730-2308	0.611[nan]-0.223[nan]-0.116[nan]-0.049[nan]
64991	D	D1	S. trenchii	1	75	D1-D4-D17d-D17c-D17e-D1r-D4c-D1c-D17j-D17l-D17k	853-854-1730-2582-944-2308-1768-2587-1759-2597-2594	0.532[nan]-0.180[nan]-0.098[nan]-0.039[nan]-0.035[nan]-0.033[nan]-0.026[nan]-0.024[nan]-0.014[nan]-0.011[nan]-0.008[nan]
64993	D	D1	S. glynnii,S. trenchii	1	69	D1-D4-D4c-D6-D2-D4f	853-854-1730-855-933-2332	0.640[nan]-0.212[nan]-0.082[nan]-0.024[nan]-0.022[nan]-0.019[nan]
